WKT,id,appellation,affected_surveys,parcel_intent,topology_type,statutory_actions,land_district,titles,survey_area,calc_area
"POLYGON ((174.74423045 -36.8492490333,174.7439143833 -36.8492572833,174.7438630833 -36.84910045,174.7441706833 -36.8490692167,174.74422215 -36.8491876,174.7442138167 -36.84919735,174.74423045 -36.8492490333))",5256853,,,Road,Primary,,North Auckland,,,538
"POLYGON ((174.7425870667 -36.8499237167,174.7424184 -36.8499381833,174.7423378167 -36.84938495,174.74250765 -36.849371,174.7425476667 -36.8496479,174.7425870667 -36.8499237167))",5217150,,,Road,Primary,,North Auckland,,,938
"POLYGON ((174.7429313833 -36.8498931833,174.7430955667 -36.8498786167,174.7432634667 -36.84986345,174.7437155833 -36.8498197,174.7440821833 -36.8497847,174.7441299333 -36.8499213333,174.74368695 -36.8499624667,174.74344815 -36.8499846333,174.7433163 -36.8499970167,174.7432951667 -36.8499989333,174.7431918167 -36.8500082833,174.7431805667 -36.8500093,174.7430447833 -36.8500215833,174.74290745 -36.8500339333,174.7427693333 -36.8500458833,174.7426355167 -36.8500584167,174.7425870667 -36.8499237167,174.7427595333 -36.8499084333,174.7429313833 -36.8498931833))",5218096,,,Road,Primary,,North Auckland,,,2060
"POLYGON ((174.74243125 -36.8500763333,174.7424184 -36.8499381833,174.7425870667 -36.8499237167,174.7426355167 -36.8500584167,174.7425008667 -36.85007065,174.74243125 -36.8500763333))",5256698,,,Road,Primary,,North Auckland,,,257
"POLYGON ((174.7445479333 -36.8502354,174.7445504667 -36.8502433167,174.7445948167 -36.85038115,174.7445973667 -36.85038905,174.74459795 -36.8503908,174.7446021333 -36.8504037333,174.7446037 -36.8504086667,174.7446052833 -36.8504135833,174.7446068667 -36.8504184833,174.74460845 -36.8504234,174.7446100333 -36.8504283167,174.7443172 -36.8505033667,174.7442776833 -36.85038075,174.7442438167 -36.8502754,174.7442381667 -36.8502576833,174.7441651167 -36.8500311667,174.7441299333 -36.8499213333,174.7444433667 -36.8499109,174.74449475 -36.8500703333,174.7445131333 -36.8501285667,174.7445479333 -36.8502354))",5213782,,,Road,Primary,,North Auckland,,,1724
"POLYGON ((174.7443172 -36.8505033667,174.7446100333 -36.8504283167,174.7446629333 -36.8505933833,174.7443733167 -36.8506798,174.7443172 -36.8505033667))",5260125,,,Road,Primary,,North Auckland,,,536
"POLYGON ((174.7455245333 -36.85054665,174.7455493667 -36.8506235,174.7455983333 -36.8507749833,174.7456472833 -36.85092645,174.7456963 -36.8510779333,174.7457477333 -36.8512368833,174.7457851667 -36.8513526833,174.7456822333 -36.85139495,174.7456414667 -36.8512688,174.7456386667 -36.8512600833,174.74563495 -36.8512487833,174.7455859667 -36.8510972833,174.7455369833 -36.8509458,174.7455124667 -36.8508699833,174.7454879333 -36.8507942333,174.7454613167 -36.8507122667,174.7453980667 -36.8505166667,174.74538225 -36.85046725,174.74535725 -36.85039025,174.7453395 -36.8503353,174.7453217333 -36.8502802833,174.74530395 -36.8502252833,174.7452854333 -36.8501680167,174.7452294833 -36.8501739,174.7452279667 -36.85016935,174.7451911167 -36.8500548833,174.7451848333 -36.8500354333,174.7451575667 -36.8499508333,174.7451221667 -36.8498417333,174.7450998 -36.8497729667,174.7450901167 -36.84974455,174.7450609667 -36.8496530833,174.7450536 -36.84963005,174.7451918667 -36.84961715,174.7452788 -36.8496090167,174.7453116333 -36.8497104333,174.7453772167 -36.8499130667,174.7454531833 -36.8501477833,174.7454546667 -36.8501524,174.7453986667 -36.8501577833,174.7454500333 -36.8503164167,174.7454995 -36.8504692333,174.7455245333 -36.85054665))",5219178,,,Road,Primary,,North Auckland,,,2645
"POLYGON ((174.74440955 -36.84980615,174.7444433667 -36.8499109,174.7441299333 -36.8499213333,174.7440821833 -36.8497847,174.7443735167 -36.8496938667,174.74440955 -36.84980615))",5260126,,,Road,Primary,,North Auckland,,,558
"POLYGON ((174.7450033333 -36.8495888667,174.74500475 -36.8495933,174.74501785 -36.8496334,174.7449677333 -36.8496384,174.7447087333 -36.8496637,174.7443735167 -36.8496938667,174.7443595 -36.84964995,174.7450033333 -36.8495888667))",4978501,Part Allot 19 Sec 8 SBRS OF Auckland,SO 54563,Road,Primary,[Referenced] Road New Zealand Gazette 2014 p 1343 Vests in the Auckland Council,North Auckland,NA528/263,289.0000,295
"POLYGON ((174.7460560333 -36.8498483667,174.7460249833 -36.8497472333,174.7459939 -36.849646,174.7459626 -36.8495446333,174.7459367333 -36.8494601167,174.7459093167 -36.8493724,174.7458844333 -36.8492911333,174.7459916667 -36.8492583167,174.7460201333 -36.8493527333,174.74604795 -36.84944485,174.7460737167 -36.8495280333,174.74610085 -36.8496154833,174.74613755 -36.8497349833,174.7461783333 -36.8498677167,174.7462354 -36.8500535667,174.746128 -36.8500830167,174.7460830333 -36.8499363667,174.7460560333 -36.8498483667))",5238231,,,Road,Primary,,North Auckland,,,914
"POLYGON ((174.7465751667 -36.8500237167,174.7467367833 -36.8500095167,174.7467575167 -36.8500077,174.7467789167 -36.8500058333,174.7468003167 -36.8500039667,174.7471155833 -36.8499765333,174.7472387 -36.8499660833,174.7473643167 -36.84995555,174.7474847333 -36.8499443,174.74764045 -36.8499307,174.74766425 -36.8499065167,174.7476857333 -36.8500399667,174.7476553333 -36.8500205833,174.7474257167 -36.8500407667,174.7473108167 -36.85005085,174.74731835 -36.85010455,174.7472063 -36.8501143833,174.74719865 -36.8500606833,174.7470862667 -36.8500703833,174.7469739833 -36.8500799667,174.7468613167 -36.8500899167,174.7467490667 -36.8500996333,174.7466273833 -36.8501102833,174.7464729167 -36.8501238333,174.7462629167 -36.85014225,174.7462354 -36.8500535667,174.7465751667 -36.8500237167))",5232104,,,Road,Primary,,North Auckland,,,1352
"POLYGON ((174.7478300667 -36.8499671667,174.74784365 -36.8500571333,174.7476857333 -36.8500399667,174.74766425 -36.8499065167,174.7478149833 -36.8498708833,174.7478300667 -36.8499671667))",5259576,,,Road,Primary,,North Auckland,,,247
"POLYGON ((174.7484308 -36.84941995,174.7484713833 -36.8494158667,174.7486003167 -36.8494028833,174.7486546 -36.8493974167,174.7486914167 -36.84963365,174.7486439167 -36.84968275,174.7486955 -36.8500135833,174.7485333333 -36.8500779167,174.7485193333 -36.8499878167,174.7485049667 -36.8498963833,174.7485011167 -36.84987085,174.7484909833 -36.8498064667,174.7484843167 -36.8497630167,174.74847695 -36.8497163333,174.7484624667 -36.84962295,174.7484483167 -36.849532,174.7484341167 -36.8494411333,174.7484308 -36.84941995))",5214471,,,Road,Primary,,North Auckland,,,1221
